neighborhood,Complaints_per_capita
Allegheny Center,1.022508038585209
Allegheny West,0.3917748917748918
Allentown,1.76
Arlington,0.44569288389513106
Arlington Heights,0.06557377049180328
Banksville,0.10014478764478764
Bedford Dwellings,0.9459234608985025
Beechview,0.25570604464509655
Beltzhoover,0.6254545454545455
Bloomfield,0.8676853826107558
Bluff,0.5516666666666666
Bon Air,0.2400990099009901
Brighton Heights,0.2511384020974196
Brookline,0.21779930376873013
California-Kirkbride,0.442838370565046
Carrick,0.31939088302185303
Central Business District,3.5891430146045744
Central Lawrenceville,2.4763498438197233
Central Northside,0.6626753335614095
Central Oakland,0.1432796582320079
Chartiers City,0.20754716981132076
Chateau,15.636363636363637
Crafton Heights,0.20031463030938648
Crawford-Roberts,1.6870567375886525
Duquesne Heights,1.68
East Allegheny,1.9101123595505618
East Carnegie,0.22280701754385965
East Hills,0.3108236036604607
East Liberty,0.4649855171238712
Elliott,0.47795044099118017
Esplen,0.6710963455149501
Fairywood,0.22355289421157684
Fineview,0.3922178988326848
Friendship,0.1792717086834734
Garfield,2.3110204081632655
Glen Hazel,0.08100558659217877
Greenfield,0.20222100356457362
Hays,0.6353591160220995
Hazelwood,0.4218207088255733
Highland Park,1.3433932759968725
Homewood North,0.5716463414634146
Homewood South,0.6749146757679181
Homewood West,0.5501222493887531
Knoxville,0.5545769949292767
Larimer,0.7476851851851852
Lincoln Place,0.23427331887201736
Lincoln-Lemington-Belmar,0.3927913168134344
Lower Lawrenceville,2.064929517300299
Manchester,0.4356807511737089
Marshall-Shadeland,0.32914115505543606
Middle Hill,3.3169302870533097
Morningside,0.26778242677824265
Mount Washington,0.9319240822820775
Mt. Oliver,0.9823182711198428
New Homestead,0.1595959595959596
North Oakland,0.23808169841721163
North Shore,1.7491749174917492
Northview Heights,0.07248764415156507
Oakwood,0.2112950340798442
Overbrook,0.300768386388584
Perry North,0.3762962962962963
Perry South,0.4330518697225573
Point Breeze,0.15183443085606774
Point Breeze North,0.20642648490749757
Polish Hill,1.5894819466248038
Regent Square,0.3297413793103448
Ridgemont,0.2070393374741201
Shadyside,0.18167445203018326
Sheraden,0.2572183430836007
South Oakland,0.44156281576288314
South Shore,34.421052631578945
South Side Flats,0.606033045323632
South Side Slopes,1.6699073027356997
Spring Garden,1.7952488687782806
Spring Hill-City View,0.2858761329305136
Squirrel Hill North,0.12215084044706503
Squirrel Hill South,0.19344804765056253
St. Clair,0.7464114832535885
Stanton Heights,0.5411866985437949
Strip District,4.873376623376624
Summer Hill,0.2226450999048525
Swisshelm Park,0.13445995591476856
Terrace Village,0.20817843866171004
Troy Hill,2.227708179808401
Upper Hill,0.6514341273699562
Upper Lawrenceville,2.1079055826152118
West End,0.8031496062992126
West Oakland,0.3567588325652842
Westwood,0.1415525114155251
Windgap,0.21329437545653762
