Neighborhood,Crime Per Capita
Fairywood,0.000998003992015968
New Homestead,0.00101010101010101
Summer Hill,0.0019029495718363464
Mt. Oliver,0.0019646365422396855
Banksville,0.0026544401544401543
Swisshelm Park,0.0029390154298310064
Squirrel Hill North,0.003256182346211388
Lincoln Place,0.0037186241090796405
Oakwood,0.0038948393378773127
Bluff,0.00393939393939394
Brookline,0.0041622521568033906
Chartiers City,0.0041928721174004195
North Oakland,0.004833665055444982
Stanton Heights,0.004998913279721799
Upper Hill,0.0053475935828877
Westwood,0.005870841487279843
Shadyside,0.0060366510959396335
Squirrel Hill South,0.0060886829913964265
Highland Park,0.006098514464425333
Ridgemont,0.006211180124223602
Point Breeze,0.00658513640639699
Beechview,0.006772009029345372
Greenfield,0.006854949273375377
Morningside,0.006873879258816497
Glen Hazel,0.006983240223463687
Polish Hill,0.00706436420722135
Overbrook,0.00823271130625686
Point Breeze North,0.008276533592989289
Regent Square,0.008620689655172414
Crafton Heights,0.00865233350812795
Duquesne Heights,0.00865979381443299
Windgap,0.008765522279035792
East Carnegie,0.008771929824561403
Friendship,0.008963585434173669
St. Clair,0.009569377990430622
Central Lawrenceville,0.009593931280678269
Bon Air,0.009900990099009901
West Oakland,0.010368663594470046
Lincoln-Lemington-Belmar,0.01085398320704485
Brighton Heights,0.01186697943976818
East Hills,0.011991164405175133
Manchester,0.012206572769953052
Arlington,0.012306046013911182
Bedford Dwellings,0.012479201331114808
Perry North,0.012592592592592593
South Oakland,0.013135735938026272
Hazelwood,0.01320361362056984
Upper Lawrenceville,0.013488197826901461
Spring Garden,0.013574660633484163
Bloomfield,0.013622364368633025
Hays,0.013812154696132596
Central Oakland,0.01462372658560631
Lower Lawrenceville,0.0149508756941478
Central Northside,0.01505302771125556
Marshall-Shadeland,0.015058745656131061
Mount Washington,0.01556995113081032
Crawford-Roberts,0.015957446808510637
Carrick,0.016513398595866705
Elliott,0.016799664006719867
California-Kirkbride,0.017082785808147174
Garfield,0.017414965986394557
Beltzhoover,0.017662337662337664
Sheraden,0.01773919607473108
Spring Hill-City View,0.017749244712990938
South Side Slopes,0.018087271082975358
Northview Heights,0.018121911037891267
Allegheny Center,0.01822079314040729
Terrace Village,0.018277571251548948
South Side Flats,0.019099590723055934
Middle Hill,0.019332161687170474
Fineview,0.019455252918287938
East Liberty,0.021639120804225594
Allegheny West,0.021645021645021644
Perry South,0.02243667068757539
Homewood West,0.023227383863080684
Troy Hill,0.023949889462048637
Homewood North,0.025
Allentown,0.0252
North Shore,0.026402640264026403
Larimer,0.028356481481481483
Knoxville,0.028823058446757407
Central Business District,0.033342518600165336
East Allegheny,0.033707865168539325
West End,0.03543307086614173
Arlington Heights,0.036885245901639344
Homewood South,0.04778156996587031
Esplen,0.04983388704318937
Strip District,0.05194805194805195
Chateau,0.09090909090909091
South Shore,0.47368421052631576
