neighborhood,trees_sqmile
Allegheny Center,3585.714285714286
Friendship,2886.7924528301887
Allegheny West,2425.5319148936173
Central Northside,2332.046332046332
Manchester,2275.985663082437
East Liberty,2154.9053356282275
Marshall-Shadeland,1839.8268398268397
Crawford-Roberts,1717.0542635658915
Lincoln-Lemington-Belmar,1703.5714285714284
Point Breeze North,1597.902097902098
Bloomfield,1581.1965811965813
Central Business District,1493.75
South Side Flats,1481.8376068376067
East Allegheny,1436.4406779661017
North Shore,1415.8415841584158
Knoxville,1380.794701986755
Shadyside,1294.245385450597
Squirrel Hill North,1243.0441898527006
Regent Square,1140.625
North Oakland,1134.2685370741483
Squirrel Hill South,1104.4552602021715
Garfield,1067.8336980306344
Bedford Dwellings,944.1340782122905
Polish Hill,929.4117647058823
Point Breeze,926.2948207171314
Central Oakland,903.9145907473309
Middle Hill,901.6393442622951
Highland Park,853.8263112639725
Homewood North,824.8847926267281
Homewood South,821.608040201005
Greenfield,800.7761966364812
Stanton Heights,761.9047619047619
East Hills,759.7042513863216
Strip District,751.6447368421053
Terrace Village,739.766081871345
Lower Lawrenceville,690.6976744186046
Brighton Heights,673.2318710832587
Larimer,640.4494382022472
Bluff,620.7951070336392
Chateau,610.9660574412533
Morningside,602.0942408376964
Mount Washington,564.5302897278315
Central Lawrenceville,489.09657320872276
Swisshelm Park,475.0
Troy Hill,447.9166666666667
Upper Hill,418.53035143769966
Banksville,412.796697626419
West End,400.0
California-Kirkbride,391.70506912442397
Crafton Heights,385.9416445623342
Beechview,383.56164383561645
South Oakland,374.01574803149606
Carrick,371.78720860729226
Homewood West,351.75879396984925
Westwood,345.37572254335265
Brookline,339.5773294908742
Perry South,338.121546961326
Oakwood,337.3015873015873
West Oakland,330.2325581395349
Fineview,324.0
Hazelwood,309.5388502842704
Upper Lawrenceville,306.1728395061728
Overbrook,288.43861740166864
Perry North,278.05280528052805
Sheraden,268.5393258426966
South Side Slopes,252.79329608938548
Bon Air,249.20127795527156
Lincoln Place,241.869918699187
Allentown,237.28813559322035
Beltzhoover,235.15439429928742
New Homestead,224.18136020151132
Windgap,212.04819277108436
Arlington,187.2340425531915
Chartiers City,181.8181818181818
Elliott,181.5181518151815
Spring Garden,178.18181818181816
Summer Hill,166.2870159453303
Spring Hill-City View,150.79365079365078
Mt. Oliver,126.21359223300972
Duquesne Heights,117.17495987158908
Ridgemont,81.30081300813008
St. Clair,38.70967741935484
Arlington Heights,30.3030303030303
Fairywood,27.863777089783284
Northview Heights,19.169329073482427
East Carnegie,9.25925925925926
Esplen,8.695652173913043
South Shore,4.716981132075472
Glen Hazel,4.385964912280701
Hays,0.5714285714285714
